Neuron1Id,Neuron2,Neuron2type,Neuron2Id,Weight,Neuron2Pre,Neuron2Post,WeightHP
911470352,EPG(PB08)_L7,EPG,1035045015,9,549,4196,3
911470352,Delta7(PB15)_L8R1R9_L,Delta7,911578595,9,556,1320,6
911470352,Delta7(PB15)_L8R1R9_L,Delta7,910783883,9,600,1367,5
911470352,EPG(PB08)_L7,EPG,5813012006,8,539,3883,2
911470352,Delta7(PB15)_L6R3_L,Delta7,941482720,8,476,1081,7
911470352,Delta7(PB15)_L3R6_R,Delta7,941469087,8,535,1245,4
911470352,Delta7(PB15)_L5R4_L,Delta7,880875736,8,479,1169,5
911470352,Delta7(PB15)_L1L9R8_R,Delta7,881221166,8,606,1285,3
911470352,Delta7(PB15)_L6R3_L,Delta7,734581598,8,513,1039,3
911470352,EPG(PB08)_R5,EPG,725951521,8,415,3479,4
911470352,Delta7(PB15)_L5R4_L,Delta7,5813048042,6,515,1147,6
911470352,LPsP(PB13)_L,LPsP,1095275456,6,1864,4180,2
911470352,EPG(PB08)_R7,EPG,1002852791,6,504,4112,4
911470352,EPG(PB08)_L7,EPG,1004017998,6,414,3073,6
911470352,EPG(PB08)_L6,EPG,912601268,6,459,3433,5
911470352,Delta7(PB15)_L7R2_L,Delta7,912243353,6,508,982,2
911470352,P1-9(PB19)_L,P1-9,911565408,6,364,286,3
911470352,LPsP(PB13)_R,LPsP,881217171,6,1845,4354,1
911470352,EPG(PB08)_L6,EPG,541870397,6,498,3916,2
911470352,P1-9(PB19)_R,P1-9,941469301,5,263,250,4
911470352,EPG(PB08)_L2,EPG,912545106,5,564,4273,3
911470352,Delta7(PB15)_L1L9R8_R,Delta7,911919917,5,562,1182,1
911470352,EPG(PB08)_L3,EPG,758419409,5,589,4163,1
911470352,EPG(PB08)_L8,EPG,1167995070,4,476,3874,3
911470352,IbSpsP(PB17)_L2/R2/4,IbSpsP,1128097470,4,167,641,3
911470352,Delta7(PB15)_L1L9R8_R,Delta7,911911004,4,653,1496,0
911470352,EPG(PB08)_L6,EPG,788794171,4,445,3207,2
911470352,EPG(PB08)_L3,EPG,387364605,4,645,4350,3
911470352,IbSpsP(PB17)_L4,IbSpsP,5813041382,3,216,726,3
911470352,IbSpsP(PB17)_R8,IbSpsP,1125969140,3,136,495,1
911470352,EPG(PB08)_L8,EPG,1065410141,3,406,3278,2
911470352,EPG(PB08)_R6,EPG,941132434,3,384,3384,3
911470352,EPG(PB08)_L5,EPG,789126240,3,479,3024,3
911470352,EPG(PB08)_L2,EPG,697001770,3,494,4160,0
911470352,EPG(PB08)_R8,EPG,5813061251,2,373,2853,1
911470352,SIFa(PDM34),SIFa,5813062866,2,308,506,1
911470352,EPG(PB08)_R8,EPG,5813040233,2,433,3384,0
911470352,IbSpsP(PB17)_R3,IbSpsP,5813016150,2,136,338,1
911470352,EPGt(PB09)_R9,EPGt,1219069439,2,170,790,0
911470352,EPG(PB08)_L8,EPG,1127476096,2,455,3300,0
911470352,IbSpsP(PB17)_R7/9,IbSpsP,1095279301,2,241,547,1
911470352,EPG(PB08)_R7,EPG,1034219901,2,435,4020,1
911470352,PFGs(PB10)_R7_C3,PFGs,1033887446,2,574,2917,1
911470352,EPG(PB08)_R7,EPG,1002507159,2,545,4220,1
911470352,IbSpsP(PB17)_R3/4/5,IbSpsP,941831818,2,204,725,0
911470352,PFR_b(PB11b)_L5_C6,PFR_b,911915224,2,339,2043,0
911470352,PFNv(PB05)_L4_C3,PFNv,911897964,2,190,824,1
911470352,EPG(PB08)_R6,EPG,910438331,2,438,3749,0
911470352,PFNv(PB05)_L3_C2,PFNv,912894991,2,325,1524,0
911470352,PFNv(PB05)_L6_C5,PFNv,601557317,2,216,560,2
911470352,PFGs(PB10)_L2_C2,PFGs,419060083,2,556,2395,2
911470352,PFNv(PB05)_R4_C7,PFNv,417998204,2,229,999,1
911470352,,,5813061386,1,1,1,1
