bodyId_pre,instance_pre,type_pre,bodyId_post,instance_post,type_post,roi,weight
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1125969140,IbSpsP(PB17)_R8,IbSpsP,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911911004,Delta7(PB15)_L1L9R8_R,Delta7,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911565419,Delta7(PB15)_L3R6_R,Delta7,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1250790481,,,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1218733141,PFNp_b(PB01b)_R9_C2,PFNp_b,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1188371481,PFNp_b(PB01b)_R8_C3,PFNp_b,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1156663078,PFNm_b(PB02b)_R8_C3,PFNm_b,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1126647624,EPG(PB08)_R8,EPG,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1126301255,PFNa(PB03)_R8_C3,PFNa,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,941136727,SpsP(PB16)_R,SpsP,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911211196,Delta7(PB15)_L6R4_L,Delta7,PB(R9),1
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1155302782,PFNm_a(PB02a)_R8_C3,PFNm_a,PB(R9),1
